rule_index,update_us
0,7.928
1,5.646
2,5.862
3,4.135
4,4.242
5,4.574
6,4.330
7,4.114
8,4.727
9,4.167
10,4.221
11,4.816
12,3.911
13,4.694
14,4.118
15,4.308
16,4.245
17,4.400
18,3.765
19,5.273
20,4.167
21,3.742
22,4.152
23,4.040
24,4.028
25,4.049
26,4.974
27,4.097
28,4.736
29,3.847
30,4.246
31,3.734
32,4.223
33,3.882
34,4.328
35,4.236
36,3.748
37,4.864
38,4.001
39,4.169
40,4.185
41,4.540
42,4.393
43,4.093
44,3.817
45,3.898
46,4.763
47,4.184
48,4.437
49,4.519
50,5.077
51,4.395
52,4.221
53,4.197
54,4.248
55,4.371
56,4.188
57,3.885
58,3.820
59,3.766
60,4.553
61,4.451
62,4.336
63,4.157
64,4.273
65,4.126
66,4.062
67,4.068
68,4.704
69,4.375
70,4.492
71,3.879
72,4.355
73,3.988
74,4.138
75,3.931
76,3.996
77,3.806
78,4.302
79,4.124
80,4.766
81,4.340
82,4.051
83,3.919
84,4.135
85,3.964
86,4.024
87,3.679
88,4.109
89,4.131
90,4.037
91,3.996
92,4.585
93,4.086
94,4.056
95,3.983
96,4.146
97,4.012
98,4.263
99,4.057
100,5.329
101,4.512
102,4.771
103,4.987
104,5.154
105,4.390
106,4.520
107,4.338
108,4.609
109,5.298
110,4.873
111,4.332
112,4.153
113,4.527
114,4.303
115,4.129
116,4.166
117,3.983
118,3.977
119,4.032
120,3.842
121,3.933
122,4.280
123,4.528
124,3.931
125,4.604
126,4.056
127,4.669
128,13.220
129,4.720
130,3.754
131,3.881
132,3.869
133,4.123
134,4.856
135,4.819
136,3.852
137,4.396
138,4.062
139,3.907
140,4.330
141,4.025
142,4.119
143,3.974
144,4.025
145,4.171
146,4.286
147,3.988
148,4.105
149,3.689
150,3.840
151,3.776
152,4.285
153,4.162
154,4.113
155,3.691
156,4.178
157,3.956
158,4.502
159,4.417
160,3.944
161,3.983
162,3.876
163,4.118
164,4.156
165,3.874
166,4.309
167,3.814
168,3.798
169,3.918
170,3.934
171,4.012
172,3.584
173,3.879
174,4.286
175,3.964
176,4.302
177,3.963
178,3.838
179,3.748
180,3.655
181,4.420
182,4.724
183,3.967
184,4.782
185,4.074
186,3.861
187,3.860
188,3.791
189,5.293
190,3.889
191,3.825
192,4.040
193,4.600
194,3.982
195,4.342
196,3.864
197,3.851
198,3.967
199,4.025
200,4.056
201,4.613
202,4.459
203,4.281
204,3.780
205,3.763
206,3.907
207,3.939
208,3.674
209,3.819
210,4.677
211,3.972
212,3.996
213,4.566
214,4.612
215,4.283
216,3.909
217,3.840
218,4.272
219,3.926
220,4.364
221,3.658
222,4.070
223,3.943
224,4.129
225,3.951
226,4.058
227,3.931
228,3.739
229,4.175
230,4.156
231,4.004
232,3.728
233,3.860
234,4.306
235,3.727
236,3.811
237,3.854
238,4.374
239,4.092
240,3.993
241,3.964
242,3.953
243,3.602
244,3.878
245,3.911
246,3.974
247,4.102
248,4.026
249,3.808
250,3.734
251,3.765
252,4.195
253,3.863
254,3.963
255,4.455
256,9.054
257,4.064
258,3.977
259,3.759
260,3.863
261,3.967
262,3.803
