target_pps,n_rules,total_ms_median,total_ms_min,total_ms_max,mean_us_median,mean_us_min,mean_us_max,p50_us_median,p50_us_min,p50_us_max,p95_us_median,p95_us_min,p95_us_max,p99_us_median,p99_us_min,p99_us_max
0,100,0.756,0.539,0.932,7.561,5.392,9.317,6.047,4.221,7.578,7.402,5.262,8.29,8.899,7.348,11.106
0,500,4.028,2.823,5.326,8.055,5.645,10.652,6.266,4.185,7.928,7.278,5.383,9.342,10.999,7.914,19.028
0,1000,7.238,6.304,13.382,7.238,6.304,13.382,5.629,4.589,10.156,6.901,6.566,13.154,11.727,10.278,22.619
10000,100,0.866,0.655,2.557,8.664,6.549,25.565,5.596,5.142,19.087,7.774,6.221,21.531,10.535,7.362,70.776
10000,500,3.398,2.726,3.836,6.797,5.453,7.672,5.208,4.094,6.168,7.125,5.45,7.763,9.312,6.624,14.473
10000,1000,7.544,5.879,10.964,7.544,5.879,10.964,5.279,3.971,8.897,6.904,5.924,24.157,12.799,10.312,47.109
50000,100,0.947,0.489,1.362,9.472,4.886,13.618,7.396,3.879,11.251,8.86,4.391,12.608,13.063,4.824,18.062
50000,500,3.323,2.982,4.577,6.645,5.964,9.154,5.265,4.371,7.067,6.726,6.146,8.049,11.574,8.921,14.453
50000,1000,6.115,5.311,14.666,6.115,5.311,14.666,4.219,4.147,9.34,5.721,4.851,12.867,10.521,8.615,79.377
100000,100,0.672,0.611,1.156,6.721,6.114,11.56,5.692,4.636,8.783,6.631,5.099,10.088,7.842,7.105,12.575
100000,500,5.169,2.789,6.282,10.339,5.578,12.564,7.833,4.153,9.268,9.955,5.905,10.591,13.342,6.836,78.647
100000,1000,6.124,5.074,15.292,6.124,5.074,15.292,4.949,3.669,10.278,5.56,4.539,15.822,10.511,7.305,59.067
