rule_index,update_us
0,9.963
1,6.666
2,7.822
3,10.856
4,7.494
5,6.992
6,6.292
7,6.783
8,6.601
9,7.395
10,6.832
11,6.257
12,6.574
13,6.249
14,6.295
15,6.289
16,6.503
17,6.268
18,6.302
19,6.600
20,6.663
21,6.028
22,7.323
23,6.815
24,6.804
25,6.477
26,6.666
27,6.740
28,6.907
29,6.875
30,6.365
31,6.303
32,6.634
33,6.177
34,6.444
35,6.939
36,6.597
37,5.824
38,7.524
39,6.345
40,6.298
41,6.430
42,7.214
43,6.402
44,6.466
45,6.059
46,6.101
47,7.219
48,6.311
49,6.121
50,6.296
51,7.017
52,6.117
53,6.073
54,6.509
55,6.104
56,6.630
57,6.346
58,6.357
59,6.088
60,6.475
61,6.352
62,7.675
63,6.288
64,6.337
65,6.468
66,6.227
67,6.152
68,6.849
69,6.139
70,6.975
71,5.975
72,6.250
73,6.084
74,5.361
75,6.137
76,8.118
77,6.563
78,6.783
79,6.234
80,6.629
81,6.348
82,6.479
83,6.164
84,7.074
85,6.437
86,7.110
87,6.828
88,6.769
89,6.213
90,6.527
91,7.338
92,6.624
93,6.808
94,6.893
95,6.458
96,7.030
97,6.444
98,5.900
99,6.254
