run,target_pps,n_rules,total_ms,mean_us,min_us,p50_us,p95_us,p99_us,max_us,blast_sent,hit_d,miss_d
1,0,100,0.932,9.317,7.005,7.506,8.093,11.106,12.630,0,0,0
1,0,500,4.028,8.055,5.211,6.266,7.278,14.931,137.970,0,0,0
1,0,1000,6.304,6.304,2.666,4.589,6.583,10.278,128.045,0,0,0
1,10000,100,0.655,6.549,4.590,5.311,6.221,7.362,8.853,33508,33508,0
1,10000,500,3.836,7.672,5.644,6.168,7.763,9.312,54.601,35153,35153,0
1,10000,1000,7.987,7.987,3.235,4.343,24.157,47.109,88.448,37574,37574,0
1,50000,100,0.515,5.145,3.717,4.069,4.559,4.824,7.016,35305,35305,0
1,50000,500,3.323,6.645,3.739,5.265,7.038,14.453,68.640,32960,32960,0
1,50000,1000,14.666,14.666,6.872,9.340,12.867,79.377,287.280,32811,32811,0
1,100000,100,0.878,8.784,6.161,6.612,8.125,10.175,44.888,33187,33187,0
1,100000,500,6.282,12.564,6.012,9.044,10.591,78.647,340.233,33768,33768,0
1,100000,1000,15.292,15.292,5.622,10.278,15.822,59.067,272.576,34811,34811,0
2,0,100,0.571,5.711,3.628,4.491,5.262,7.348,15.651,0,0,0
2,0,500,4.156,8.312,3.444,7.009,8.046,10.999,36.073,0,0,0
2,0,1000,7.238,7.238,3.655,5.629,6.566,11.790,66.354,0,0,0
2,10000,100,0.705,7.048,5.046,5.596,6.318,10.535,14.127,36553,36553,0
2,10000,500,3.677,7.353,3.366,5.793,7.737,9.737,40.591,36105,36105,0
2,10000,1000,7.544,7.544,3.857,5.835,6.904,12.799,238.585,35548,35548,0
2,50000,100,1.257,12.574,8.968,9.728,10.886,14.829,69.244,34242,34242,0
2,50000,500,4.577,9.154,5.643,7.067,8.049,12.344,96.814,35097,35097,0
2,50000,1000,5.311,5.311,3.007,4.160,5.012,8.615,15.338,33853,33853,0
2,100000,100,0.650,6.503,3.725,4.652,5.412,7.842,75.852,34366,34366,0
2,100000,500,5.639,11.277,6.488,9.268,10.168,13.342,166.733,36913,36913,0
2,100000,1000,6.327,6.327,3.273,4.949,6.215,10.693,258.239,36548,36548,0
3,0,100,0.539,5.392,3.785,4.221,5.605,8.821,14.539,0,0,0
3,0,500,3.233,6.466,3.641,5.215,6.054,7.914,72.234,0,0,0
3,0,1000,6.845,6.845,3.348,5.483,6.901,11.727,44.132,0,0,0
3,10000,100,0.866,8.664,6.619,7.088,7.774,8.232,10.814,36465,36465,0
3,10000,500,2.726,5.453,3.098,4.094,5.450,6.624,32.002,33287,33287,0
3,10000,1000,6.531,6.531,3.748,5.279,6.204,10.312,106.519,34615,34615,0
3,50000,100,0.947,9.472,6.318,7.396,8.860,18.062,70.359,34925,34925,0
3,50000,500,2.982,5.964,3.126,4.371,6.726,8.921,53.545,36417,36417,0
3,50000,1000,11.768,11.768,7.389,9.173,10.828,20.255,80.313,37105,37105,0
3,100000,100,0.611,6.114,4.223,4.636,5.099,7.105,42.607,35941,35941,0
3,100000,500,3.899,7.799,5.565,6.104,6.967,9.064,16.102,33977,33977,0
3,100000,1000,6.124,6.124,3.667,5.155,5.560,10.511,44.891,35629,35629,0
4,0,100,0.756,7.561,5.456,6.047,7.402,9.500,11.172,0,0,0
4,0,500,2.823,5.645,2.615,4.185,5.383,8.069,120.510,0,0,0
4,0,1000,13.382,13.382,7.868,10.156,13.154,22.619,162.118,0,0,0
4,10000,100,1.021,10.212,4.445,5.142,17.881,70.776,146.558,33844,33844,0
4,10000,500,3.398,6.797,3.489,5.189,7.125,7.591,39.264,34819,34819,0
4,10000,1000,10.964,10.964,4.232,8.897,10.943,14.802,91.878,35160,35160,0
4,50000,100,0.489,4.886,3.460,3.879,4.391,6.411,11.774,38356,38356,0
4,50000,500,3.471,6.942,3.845,5.423,6.469,11.574,66.636,36181,36181,0
4,50000,1000,6.115,6.115,3.614,4.219,5.721,9.868,134.626,35004,35004,0
4,100000,100,0.672,6.721,4.259,5.692,6.631,7.176,8.375,34535,34535,0
4,100000,500,2.789,5.578,3.700,4.153,5.905,6.836,12.183,33639,33639,0
4,100000,1000,5.074,5.074,1.938,3.669,5.515,9.816,61.057,34503,34503,0
5,0,100,0.908,9.078,6.630,7.578,8.290,8.899,11.265,0,0,0
5,0,500,5.326,10.652,6.608,7.928,9.342,19.028,103.690,0,0,0
5,0,1000,7.740,7.740,3.675,6.382,7.414,10.403,82.018,0,0,0
5,10000,100,2.557,25.565,14.686,19.087,21.531,33.955,222.560,35462,35462,0
5,10000,500,3.339,6.678,4.389,5.208,6.089,14.473,61.582,35655,35655,0
5,10000,1000,5.879,5.879,1.535,3.971,5.924,12.001,129.965,35395,35395,0
5,50000,100,1.362,13.618,9.778,11.251,12.608,13.063,16.978,33250,33250,0
5,50000,500,3.122,6.243,3.961,4.695,6.146,9.500,46.027,35264,35264,0
5,50000,1000,5.661,5.661,3.687,4.147,4.851,10.521,337.435,32595,32595,0
5,100000,100,1.156,11.560,6.774,8.783,10.088,12.575,64.770,35013,35013,0
5,100000,500,5.169,10.339,4.938,7.833,9.955,17.543,106.431,34614,34614,0
5,100000,1000,5.302,5.302,3.621,4.076,4.539,7.305,76.411,36738,36738,0
