target_pps,n_rules,total_ms,mean_us,min_us,p50_us,p95_us,p99_us,max_us,blast_sent,hit_delta,miss_delta
0,100,0.803,8.028,5.361,6.468,7.524,9.963,10.856,0,0,0
0,500,2.949,5.898,3.025,4.539,6.063,10.307,33.145,0,0,0
0,1000,5.309,5.309,3.457,4.049,5.251,9.557,50.570,0,0,0
10000,100,0.544,5.439,3.329,4.364,5.278,6.112,6.954,48336,48336,0
10000,500,8.041,16.081,8.132,9.323,12.094,61.749,1345.146,44801,44801,0
10000,1000,5.223,5.223,3.612,3.956,4.376,7.202,127.529,47034,47034,0
50000,100,0.935,9.353,6.525,7.401,8.253,8.634,10.969,47177,47177,0
50000,500,7.035,14.069,8.415,9.742,10.917,45.664,523.492,46956,46956,0
50000,1000,5.111,5.111,3.590,4.055,4.612,6.277,43.927,51488,51488,0
100000,100,0.536,5.359,3.898,4.333,4.826,5.507,6.539,45810,45810,0
100000,500,4.745,9.490,6.911,7.402,9.433,11.661,59.002,46012,46012,0
100000,1000,5.882,5.882,3.409,4.316,5.755,9.265,47.099,47611,47611,0
