rule_index,update_us
0,7.495
1,5.105
2,4.444
3,4.348
4,4.227
5,4.660
6,4.864
7,4.460
8,4.393
9,4.457
10,4.336
11,4.465
12,4.426
13,4.430
14,4.322
15,4.524
16,4.248
17,4.358
18,3.895
19,4.583
20,4.491
21,4.367
22,4.187
23,4.507
24,4.199
25,4.737
26,4.262
27,4.682
28,4.472
29,4.373
30,4.144
31,4.275
32,4.451
33,4.316
34,4.191
35,4.159
36,4.242
37,4.490
38,4.116
39,4.354
40,4.247
41,4.739
42,4.085
43,4.319
44,4.287
45,4.362
46,4.756
47,4.333
48,4.390
49,4.628
50,4.217
51,4.511
52,4.411
53,4.967
54,4.222
55,4.212
56,4.302
57,4.352
58,4.157
59,4.072
60,4.107
61,4.401
62,4.123
63,4.682
64,4.028
65,4.063
66,4.011
67,4.210
68,4.382
69,4.529
70,4.334
71,4.379
72,4.210
73,4.341
74,4.009
75,4.191
76,4.112
77,4.175
78,3.957
79,4.768
80,4.151
81,4.623
82,3.932
83,4.032
84,3.767
85,4.351
86,3.982
87,4.590
88,4.172
89,4.163
90,4.060
91,4.129
92,3.940
93,4.067
94,4.180
95,4.104
96,4.090
97,3.998
98,4.096
99,4.190
100,4.022
101,4.280
102,3.950
103,4.435
104,4.534
105,4.172
106,3.958
107,4.339
108,4.266
109,4.044
110,3.946
111,4.392
112,4.177
113,4.213
114,4.358
115,4.291
116,4.097
117,4.168
118,3.896
119,4.314
120,4.216
121,4.431
122,4.398
123,4.569
124,4.174
125,4.772
126,3.972
127,4.270
128,12.279
129,4.224
130,3.889
131,4.118
132,4.202
133,4.158
134,4.264
135,4.254
136,4.068
137,4.308
138,4.202
139,4.277
140,4.020
141,4.333
142,4.094
143,4.050
144,4.133
145,4.122
146,3.785
147,4.287
148,4.117
149,4.076
150,3.956
151,4.163
152,4.321
153,4.340
154,4.059
155,4.769
156,4.347
157,4.459
158,4.187
159,4.085
160,4.210
161,3.979
162,4.130
163,4.272
164,4.513
165,4.005
166,4.270
167,3.825
168,5.008
169,4.229
170,4.592
171,4.368
172,3.643
173,4.174
174,4.215
175,4.032
176,3.956
177,4.508
178,4.350
179,4.397
180,3.935
181,4.343
182,4.534
183,4.079
184,4.434
185,4.278
186,3.852
187,4.141
188,4.160
189,4.559
190,4.336
191,4.704
192,4.166
193,4.434
194,3.921
195,4.069
196,3.718
197,4.462
198,4.184
199,4.649
200,4.368
201,4.368
202,4.191
203,4.321
204,4.271
205,4.103
206,4.576
207,4.531
208,3.871
209,4.049
210,4.244
211,4.469
212,4.071
213,4.399
214,4.119
215,4.572
