rule_index,update_us
0,7.812
1,7.454
2,7.426
3,6.027
4,5.686
5,6.079
6,5.713
7,5.486
8,6.123
9,5.720
10,18.051
11,6.130
12,5.338
13,5.675
14,5.290
15,5.850
16,5.617
17,5.530
18,5.035
19,6.237
20,5.487
21,5.172
22,7.245
23,6.943
24,6.655
25,6.818
26,8.614
27,6.695
28,7.094
29,6.554
30,6.995
31,6.732
32,6.878
33,6.695
34,9.099
35,7.413
36,7.408
37,6.885
38,6.382
39,6.756
40,6.858
41,7.104
42,7.535
43,6.746
44,6.378
45,6.342
46,7.407
47,6.603
48,5.785
49,5.967
50,6.022
51,6.007
52,5.699
53,5.975
54,5.567
55,5.595
56,5.431
57,5.295
58,5.619
59,5.244
60,5.712
61,5.885
62,5.575
63,5.872
64,5.417
65,5.595
66,5.368
67,5.527
68,5.433
69,5.600
70,5.538
71,5.589
72,5.693
73,5.463
74,5.502
75,5.401
76,5.146
77,5.130
78,5.559
79,5.402
80,5.837
81,5.832
82,5.336
83,5.432
84,5.300
85,5.392
86,5.583
87,5.337
88,5.741
89,5.580
90,5.927
91,5.522
92,5.774
93,5.580
94,5.207
95,5.572
96,5.829
97,5.481
98,6.084
99,5.751
