rule_index,update_us
0,2.972
1,2.094
2,2.060
3,2.012
4,2.439
5,2.204
6,2.085
7,2.064
8,2.050
9,2.112
10,1.926
11,2.008
12,2.058
13,2.007
14,1.940
15,2.001
16,1.972
17,2.017
18,1.984
19,1.966
20,1.979
21,1.905
22,1.966
23,1.962
24,2.032
25,2.005
26,1.984
27,1.962
28,2.045
29,2.111
30,1.959
31,1.988
32,1.947
33,1.994
34,2.337
35,2.013
36,2.002
37,1.989
38,2.062
39,1.994
40,1.944
41,1.935
42,2.016
43,1.874
44,1.913
45,1.938
46,1.910
47,2.041
48,1.966
49,1.919
50,2.040
51,2.026
52,2.155
53,2.151
54,1.975
55,2.074
56,1.947
57,2.054
58,2.069
59,1.921
60,1.980
61,1.993
62,1.881
63,1.902
64,1.972
65,1.921
66,1.862
67,2.080
68,1.908
69,1.902
70,1.998
71,2.022
72,1.920
73,1.970
74,2.034
75,1.977
76,1.915
77,1.959
78,2.039
79,2.192
80,2.034
81,2.018
82,2.042
83,2.029
84,2.208
85,2.203
86,2.138
87,1.963
88,2.117
89,2.065
90,2.039
91,1.993
92,2.049
93,1.882
94,1.980
95,1.972
96,1.944
97,1.929
98,1.937
99,2.000
100,2.048
101,2.037
102,1.974
103,2.031
104,1.992
105,2.024
106,1.894
107,2.069
108,1.903
109,1.919
110,1.985
111,1.902
112,2.004
113,2.119
114,2.052
115,2.050
116,2.004
117,1.979
118,2.070
119,1.983
120,2.000
121,2.029
122,1.993
123,2.143
124,1.913
125,1.972
126,2.022
127,1.906
128,4.495
129,2.060
130,1.920
131,1.934
132,2.009
133,1.928
134,1.947
135,1.974
136,1.930
137,1.978
138,2.118
139,2.114
140,2.122
141,2.017
142,2.197
143,2.059
144,2.069
145,1.987
146,2.212
147,1.973
148,2.059
149,2.088
150,1.904
151,1.897
152,1.939
153,1.917
154,1.919
155,2.007
156,1.926
157,2.018
158,2.000
159,1.969
160,1.964
161,2.066
162,1.988
163,1.936
164,1.996
165,1.951
166,2.000
167,1.986
168,1.907
169,2.305
170,1.954
171,1.935
172,1.996
173,2.043
174,2.062
175,2.020
176,1.961
177,1.969
178,2.110
179,1.982
180,2.000
181,2.305
182,2.053
183,1.894
184,2.036
185,1.919
186,2.047
187,2.088
188,2.007
189,2.001
190,1.980
