run,target_pps,n_rules,total_ms,mean_us,min_us,p50_us,p95_us,p99_us,max_us,blast_sent,hit_d,miss_d
1,0,100,0.267,2.667,2.512,2.636,2.904,3.115,3.737,0,0,0
1,0,500,0.987,1.973,1.750,1.923,2.182,2.334,6.108,0,0,0
1,0,1000,1.991,1.991,1.714,1.930,2.199,2.497,17.716,0,0,0
1,10000,100,0.208,2.075,1.833,2.049,2.285,2.473,3.617,60000,60000,0
1,10000,500,0.998,1.996,1.806,1.962,2.143,2.390,6.207,60000,60000,0
1,10000,1000,1.959,1.959,1.743,1.904,2.134,2.361,15.953,60000,60000,0
1,50000,100,0.203,2.025,1.865,1.984,2.292,2.402,3.489,299998,299998,0
1,50000,500,0.997,1.994,1.727,1.916,2.189,2.672,12.430,299998,299998,0
1,50000,1000,2.576,2.576,2.316,2.500,2.815,3.064,18.658,299998,299998,0
1,100000,100,0.205,2.054,1.862,2.006,2.332,2.497,3.708,599995,599995,0
1,100000,500,0.984,1.969,1.751,1.911,2.149,2.513,6.982,599995,599995,0
1,100000,1000,1.968,1.968,1.740,1.903,2.141,2.384,18.574,599995,599995,0
2,0,100,0.262,2.620,2.425,2.569,2.947,3.108,3.634,0,0,0
2,0,500,1.226,2.453,1.873,2.475,2.743,3.028,7.423,0,0,0
2,0,1000,1.983,1.983,1.749,1.936,2.168,2.426,7.237,0,0,0
2,10000,100,0.205,2.051,1.880,2.000,2.390,2.575,3.677,60000,60000,0
2,10000,500,0.989,1.977,1.712,1.925,2.134,2.375,6.583,60000,60000,0
2,10000,1000,1.966,1.966,1.713,1.900,2.127,2.486,18.373,60000,60000,0
2,50000,100,0.261,2.607,2.404,2.575,2.865,2.938,3.614,299998,299998,0
2,50000,500,1.225,2.450,1.894,2.457,2.770,3.213,8.450,299998,299998,0
2,50000,1000,1.960,1.960,1.727,1.907,2.162,2.382,7.788,299998,299998,0
2,100000,100,0.203,2.033,1.853,1.997,2.304,2.417,3.505,599995,599995,0
2,100000,500,1.004,2.008,1.757,1.956,2.229,2.503,7.096,599995,599995,0
2,100000,1000,2.509,2.509,2.262,2.438,2.725,3.081,16.349,599995,599995,0
3,0,100,0.207,2.068,1.901,2.031,2.340,2.540,3.790,0,0,0
3,0,500,1.003,2.006,1.763,1.957,2.178,2.435,7.316,0,0,0
3,0,1000,1.976,1.976,1.727,1.913,2.143,2.407,15.937,0,0,0
3,10000,100,0.202,2.017,1.857,1.976,2.275,2.494,3.590,60000,60000,0
3,10000,500,0.988,1.976,1.711,1.920,2.165,2.389,6.709,60000,60000,0
3,10000,1000,2.220,2.220,1.772,1.955,2.314,11.334,14.362,60000,60000,0
3,50000,100,0.204,2.037,1.883,1.981,2.235,2.550,4.097,299998,299998,0
3,50000,500,0.986,1.972,1.720,1.910,2.195,2.508,6.164,299998,299998,0
3,50000,1000,3.252,3.252,1.720,1.935,10.053,10.871,27.622,299998,299998,0
3,100000,100,0.228,2.275,1.921,2.078,2.385,3.673,18.692,599995,599995,0
3,100000,500,1.037,2.074,1.825,2.015,2.318,2.547,8.583,599995,599995,0
3,100000,1000,2.470,2.470,1.921,2.419,2.742,3.128,7.422,599995,599995,0
4,0,100,0.264,2.640,2.422,2.578,2.993,3.146,3.641,0,0,0
4,0,500,1.267,2.535,2.334,2.489,2.760,2.978,7.923,0,0,0
4,0,1000,2.557,2.557,2.321,2.483,2.780,3.073,19.434,0,0,0
4,10000,100,0.203,2.026,1.863,1.983,2.188,2.371,3.813,60000,60000,0
4,10000,500,0.986,1.973,1.744,1.915,2.162,2.359,6.664,60000,60000,0
4,10000,1000,2.509,2.509,2.252,2.441,2.728,3.033,15.850,60000,60000,0
4,50000,100,0.203,2.027,1.865,1.994,2.228,2.384,3.787,299998,299998,0
4,50000,500,0.988,1.976,1.739,1.924,2.146,2.307,6.758,299998,299998,0
4,50000,1000,2.023,2.023,1.775,1.965,2.195,2.459,12.475,299998,299998,0
4,100000,100,0.245,2.446,2.164,2.328,2.699,2.982,10.551,599995,599995,0
4,100000,500,1.045,2.090,1.820,2.009,2.313,2.890,12.934,599995,599995,0
4,100000,1000,2.036,2.036,1.746,1.975,2.264,2.471,13.600,599995,599995,0
5,0,100,0.212,2.118,1.920,2.067,2.385,2.408,3.857,0,0,0
5,0,500,0.986,1.972,1.790,1.926,2.129,2.418,6.364,0,0,0
5,0,1000,2.030,2.030,1.752,1.954,2.342,2.708,6.852,0,0,0
5,10000,100,0.204,2.036,1.868,1.989,2.324,2.597,3.722,60000,60000,0
5,10000,500,1.019,2.037,1.763,1.960,2.269,2.675,15.501,60000,60000,0
5,10000,1000,2.005,2.005,1.762,1.948,2.214,2.506,13.302,60000,60000,0
5,50000,100,0.205,2.045,1.864,2.009,2.293,2.503,3.630,299998,299998,0
5,50000,500,0.990,1.980,1.804,1.926,2.138,2.465,6.884,299998,299998,0
5,50000,1000,1.971,1.971,1.743,1.918,2.154,2.500,6.323,299998,299998,0
5,100000,100,0.247,2.474,2.284,2.438,2.761,2.978,3.711,599995,599995,0
5,100000,500,1.026,2.052,1.842,2.000,2.292,2.523,6.874,599995,599995,0
5,100000,1000,2.037,2.037,1.758,1.972,2.249,2.678,17.086,599995,599995,0
