run,target_pps,n_rules,total_ms,mean_us,min_us,p50_us,p95_us,p99_us,max_us,blast_sent,hit_d,miss_d
1,0,100,0.206,2.060,1.805,2.027,2.391,2.565,3.669,0,0,0
1,0,500,1.003,2.006,1.723,1.964,2.186,2.490,6.210,0,0,0
1,0,1000,2.072,2.072,1.746,2.018,2.280,2.588,18.727,0,0,0
1,10000,100,0.223,2.226,1.899,2.055,2.336,6.300,12.915,60000,60000,0
1,10000,500,2.739,5.478,4.970,5.468,5.691,5.947,12.155,60000,60000,0
1,10000,1000,1.954,1.954,1.740,1.908,2.161,2.479,5.893,60000,60000,0
1,50000,100,0.206,2.055,1.827,2.018,2.339,2.477,3.478,299998,299998,0
1,50000,500,0.989,1.977,1.780,1.912,2.228,2.371,6.652,299998,299998,0
1,50000,1000,2.136,2.136,1.810,2.082,2.353,2.622,15.964,299998,299998,0
1,100000,100,0.534,5.339,5.060,5.227,5.600,5.813,11.989,599995,599995,0
1,100000,500,2.097,4.193,3.894,4.099,4.364,4.830,25.373,599995,599995,0
1,100000,1000,2.005,2.005,1.799,1.972,2.169,2.446,6.346,599995,599995,0
2,0,100,0.204,2.043,1.800,1.989,2.235,2.434,3.526,0,0,0
2,0,500,2.730,5.459,4.743,5.022,6.505,9.504,65.630,0,0,0
2,0,1000,1.959,1.959,1.722,1.903,2.121,2.374,18.045,0,0,0
2,10000,100,0.385,3.854,3.638,3.810,4.107,4.263,5.512,60000,60000,0
2,10000,500,0.985,1.969,1.728,1.906,2.193,2.565,6.206,60000,60000,0
2,10000,1000,1.994,1.994,1.740,1.935,2.172,2.729,16.858,60000,60000,0
2,50000,100,0.447,4.473,4.200,4.426,4.706,4.986,6.210,299998,299998,0
2,50000,500,1.015,2.030,1.793,1.951,2.220,2.554,15.526,299998,299998,0
2,50000,1000,1.936,1.936,1.719,1.889,2.094,2.397,16.094,299998,299998,0
2,100000,100,0.620,6.197,5.380,5.639,5.905,7.673,57.378,599995,599995,0
2,100000,500,2.940,5.880,5.580,5.730,6.005,6.300,42.717,599995,599995,0
2,100000,1000,5.979,5.979,3.032,5.910,6.197,8.536,47.360,599995,599995,0
3,0,100,0.495,4.947,4.525,4.803,5.053,8.385,16.275,0,0,0
3,0,500,1.023,2.046,1.820,1.939,2.199,2.482,24.482,0,0,0
3,0,1000,5.328,5.328,4.347,4.789,6.625,8.269,59.763,0,0,0
3,10000,100,0.212,2.119,1.834,2.029,2.327,2.624,8.182,60000,60000,0
3,10000,500,2.579,5.158,3.852,5.538,5.836,8.700,60.046,60000,60000,0
3,10000,1000,4.705,4.705,3.601,3.900,5.756,6.086,57.600,60000,60000,0
3,50000,100,0.205,2.048,1.855,1.996,2.311,2.539,3.982,299998,299998,0
3,50000,500,1.006,2.012,1.758,1.951,2.262,2.426,6.233,299998,299998,0
3,50000,1000,5.336,5.336,3.012,5.526,5.786,6.594,41.438,299998,299998,0
3,100000,100,0.517,5.174,4.835,5.155,5.382,5.514,7.985,599995,599995,0
3,100000,500,2.441,4.881,4.557,4.826,5.096,5.306,10.279,599995,599995,0
3,100000,1000,2.009,2.009,1.782,1.960,2.219,2.541,5.865,599995,599995,0
4,0,100,0.208,2.078,1.830,2.036,2.358,2.594,3.596,0,0,0
4,0,500,2.038,4.077,3.811,4.012,4.300,4.503,10.100,0,0,0
4,0,1000,1.980,1.980,1.725,1.929,2.171,2.495,5.923,0,0,0
4,10000,100,0.220,2.196,1.860,2.150,2.500,3.188,3.371,60000,60000,0
4,10000,500,1.042,2.084,1.889,2.030,2.326,2.584,5.611,60000,60000,0
4,10000,1000,2.044,2.044,1.759,2.000,2.240,2.683,5.973,60000,60000,0
4,50000,100,0.209,2.088,1.860,2.053,2.407,2.629,3.750,299998,299998,0
4,50000,500,2.376,4.751,4.140,4.314,5.748,8.005,59.760,299998,299998,0
4,50000,1000,1.949,1.949,1.728,1.904,2.115,2.527,6.321,299998,299998,0
4,100000,100,0.573,5.731,5.430,5.680,6.026,6.203,7.953,599995,599995,0
4,100000,500,3.019,6.038,5.680,5.892,6.183,6.546,43.963,599994,599994,0
4,100000,1000,6.215,6.215,5.326,6.470,6.765,8.368,32.981,599995,599995,0
5,0,100,0.228,2.280,1.857,2.009,2.304,6.647,21.267,0,0,0
5,0,500,1.031,2.061,1.812,1.967,2.221,2.758,22.428,0,0,0
5,0,1000,2.168,2.168,1.908,2.106,2.371,2.670,15.954,0,0,0
5,10000,100,0.204,2.036,1.743,1.975,2.290,2.478,4.099,60000,60000,0
5,10000,500,1.020,2.040,1.770,1.960,2.252,2.737,15.432,60000,60000,0
5,10000,1000,1.947,1.947,1.738,1.903,2.102,2.394,5.595,60000,60000,0
5,50000,100,0.204,2.044,1.817,2.019,2.241,2.750,3.820,299998,299998,0
5,50000,500,1.002,2.004,1.792,1.912,2.249,2.454,15.426,299998,299998,0
5,50000,1000,1.967,1.967,1.718,1.904,2.159,2.347,16.122,299998,299998,0
5,100000,100,0.567,5.667,5.403,5.616,5.985,6.021,7.986,599995,599995,0
5,100000,500,0.981,1.963,1.774,1.901,2.171,2.377,6.071,599995,599995,0
5,100000,1000,1.988,1.988,1.727,1.921,2.189,2.438,19.761,599995,599995,0
