rule_index,update_us
0,2.652
1,1.913
2,1.875
3,2.051
4,1.861
5,1.974
6,1.921
7,2.078
8,1.861
9,1.865
10,2.129
11,1.826
12,1.947
13,1.970
14,1.890
15,1.938
16,1.970
17,1.873
18,1.880
19,1.851
20,1.890
21,1.859
22,1.854
23,1.764
24,1.829
25,1.833
26,1.923
27,1.896
28,1.910
29,1.955
30,1.986
31,1.932
32,1.983
33,1.830
34,1.879
35,1.851
36,1.791
37,1.938
38,1.877
39,1.872
40,1.896
41,2.025
42,1.940
43,1.923
44,1.913
45,2.020
46,1.980
47,1.972
48,1.892
49,1.960
50,2.218
51,1.906
52,2.061
53,1.822
54,1.922
55,2.063
56,1.948
57,2.056
58,2.194
59,2.080
60,2.513
61,2.314
62,2.133
63,2.268
64,2.285
65,2.317
66,2.409
67,2.149
68,2.605
69,2.335
70,2.189
71,2.189
72,2.146
73,2.131
74,2.222
75,2.084
76,2.286
77,2.152
78,2.092
79,2.105
80,2.081
81,2.083
82,2.112
83,2.080
84,2.062
85,2.178
86,2.248
87,2.105
88,2.104
89,2.361
90,2.091
91,2.522
92,2.272
93,2.214
94,2.278
95,2.183
96,2.140
97,2.301
98,2.214
99,2.169
