rule_index,update_us
0,6.187
1,4.628
2,4.154
3,4.352
4,4.362
5,4.156
6,4.251
7,4.463
8,4.164
9,4.142
10,4.236
11,4.070
12,4.340
13,4.307
14,4.224
15,4.094
16,4.293
17,4.101
18,4.307
19,4.084
20,4.173
21,4.330
22,3.973
23,3.997
24,4.034
25,4.170
26,4.124
27,4.001
28,4.147
29,4.154
30,4.344
31,4.534
32,4.160
33,4.044
34,3.986
35,4.008
36,3.964
37,4.007
38,3.934
39,4.194
40,4.316
41,3.994
42,3.954
43,3.948
44,4.032
45,4.122
46,4.345
47,4.239
48,3.987
49,4.205
50,4.089
51,3.969
52,3.960
53,3.912
54,4.017
55,4.346
56,4.050
57,4.152
58,4.176
59,4.107
60,4.046
61,3.963
62,3.970
63,4.134
64,4.138
65,4.038
66,4.247
67,4.050
68,4.132
69,4.127
70,4.017
71,3.926
72,4.027
73,3.964
74,4.152
75,3.959
76,4.208
77,4.028
78,4.010
79,3.931
80,4.003
81,4.199
82,4.017
83,4.329
84,4.096
85,4.224
86,4.042
87,4.035
88,4.031
89,4.110
90,3.992
91,3.996
92,4.156
93,4.013
94,4.186
95,4.008
96,4.054
97,3.934
98,4.009
99,3.994
