rule_index,update_us
0,3.659
1,2.317
2,2.262
3,2.140
4,2.179
5,2.347
6,2.780
7,2.124
8,2.151
9,2.085
10,2.134
11,2.040
12,2.031
13,2.079
14,2.045
15,2.015
16,2.073
17,2.309
18,2.064
19,1.930
20,2.240
21,2.066
22,2.062
23,1.983
24,2.015
25,2.077
26,1.908
27,1.981
28,2.049
29,2.122
30,2.011
31,2.003
32,2.040
33,2.018
34,1.897
35,2.081
36,1.955
37,2.019
38,1.991
39,2.005
40,1.930
41,1.919
42,1.937
43,1.906
44,2.348
45,2.063
46,2.060
47,2.086
48,2.065
49,2.106
50,1.982
51,1.947
52,2.078
53,2.121
54,2.077
55,2.002
56,2.038
57,2.078
58,2.255
59,2.080
60,2.014
61,2.076
62,2.050
63,1.975
64,2.012
65,1.983
66,2.347
67,1.926
68,2.066
69,2.012
70,2.066
71,1.974
72,2.033
73,2.055
74,2.169
75,2.018
76,1.919
77,1.912
78,2.242
79,2.016
80,2.029
81,2.263
82,2.231
83,1.965
84,1.967
85,1.995
86,2.245
87,2.140
88,2.398
89,2.002
90,1.984
91,2.086
92,2.574
93,2.062
94,2.137
95,2.075
96,2.070
97,2.066
98,1.973
99,1.943
